"esqp_01" "esqp_02" "esqp_03" "esqp_04" "esqp_05" "esqp_06" "esqp_07" "esqp_08" "esqp_09" "esqp_10" "esqp_11" "esqp_12"
"465" 1 1 1 1 1 1 2 2 2 1 2 1
"466" 1 2 1 1 1 1 2 2 2 2 1 1
"467" 2 2 2 2 3 2 3 1 1 2 2 2
"468" 2 2 2 2 2 2 2 2 2 2 2 2
"469" 2 2 2 2 2 2 NA 1 1 2 2 2
"470" 2 1 1 2 2 1 1 1 3 1 2 2
"471" 2 1 1 2 2 1 1 1 3 1 2 2
"472" 2 1 2 3 3 3 3 1 NA 1 3 3
"473" 2 1 2 3 3 3 3 1 NA 1 3 3
"474" 2 2 2 2 3 2 3 1 1 2 2 2
"475" 2 2 2 2 3 2 3 1 1 2 2 2
"476" 2 1 1 2 2 2 2 1 3 1 NA 2
"477" 2 2 2 2 2 2 1 1 1 1 1 1
"478" 2 1 2 2 3 3 2 2 1 1 3 2
"479" 2 1 1 2 2 3 3 1 2 1 3 2
"480" 3 2 2 3 3 3 3 1 2 1 2 3
"481" 1 1 1 1 1 1 1 1 3 2 1 1
